brand,name,tag,sex,price,size,view,buy,like,review,url
오찌,3300 하이 플라워팩 FLOTDA2U23,"['3300하이', '3300스니커즈']","남성, 여성","121,000원","[{'(99)MIX': ['220', '225', '230', '235', '240', '250']}]",1.8천 회 이상,200 개 이상,"1,781",51,https://www.musinsa.com/app/goods/3192342
뉴발란스,NBP7ES100W / ML574EVW (MEN),"['운동화추천', '발편한신발', '스니커즈', '캐주얼', '운동화', '574&996', '데일리', '클래식']",남성,"119,000원","[{'(39)IVORY(품절)': []}, {'(10)WHITE': ['255', '260', '265', '270', '275', '280', '285(4개 남음)', '290', '300(마지막 1개)']}]",850 회 이상,450 개 이상,"2,895",268,https://www.musinsa.com/app/goods/2268510
반스,컴피쿠시 원 - (체커보드) 그린:마쉬멜로우 / VN0A45J5V0N1,"['컴피쿠시원', '체커보드', '컴피원', '서머슈즈', '컴피쿠시', '아울렛', '추천상품']","남성, 여성","29,900원","['280', '285', '290', '295', '300', '310']",1.8만 회 이상,2.4천 개 이상,"9,687","2,806",https://www.musinsa.com/app/goods/2670215
아디다스,가젤 인도어 W - 핑크:블랙 / IE7002,"['가젤', '스니커즈', '캐주얼', '가죽갑피', '가죽', '클래식', '가젤인도어']",여성,"169,000원","['220', '225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '295', '300(5개남음)']",4.1만 회 이상,1.4천 개 이상,"4,644",310,https://www.musinsa.com/app/goods/3366789
뉴발란스,NBPDDF731F / ML610TBI (BROWN),"['데일리스니커즈', '여성스니커즈', '운동화', '스니커즈', '남성스니커즈', '업데이트', '신발', '뉴발란스999휴머니티', '610TIN999휴머니티']",,"139,000원","[{'(85)BROWN': ['230(3개 남음)', '265', '275', '285(2개 남음)']}]",3.3천 회 이상,400 개 이상,"1,347",206,https://www.musinsa.com/app/goods/3529993
제이다울,솔리드_SOLID BLACK_JD13,"['솔리드', '어글리슈즈', '청키슈즈', '트레킹화', '블랙', '스니커즈']","남성, 여성","128,000원",['230(5개남음)'],200 회 이상,698,698,65,https://www.musinsa.com/app/goods/1182493
브랜즈,로우 레더 러너 - 그레이,"['키높이운동화', '남자스니커즈', '남자운동화', '키높이신발', '남성스니커즈', '독일군', '남자신발', '로우레더러너', '레더']",남성,"135,150원","['245(마지막1개)', '250(5개남음)', '255(4개남음)', '260(5개남음)', '285(2개남음)', '290(3개남음)']",1.3천 회 이상,500 개 이상,"1,999",537,https://www.musinsa.com/app/goods/1726078
포즈간츠,멈멈 C.V 화이트,"['스니커즈', '오버솔', '청키', '캔버스', '화이트', 'CANVAS', '멈멈캔버스', '브랜드위크']","남성, 여성","66,600원","['240', '260']",4천 회 이상,1.5천 개 이상,"14,792","1,235",https://www.musinsa.com/app/goods/1376279
디스커버리 익스페디션,뮬리 슬라이드 V2 (BLACK),"['디스커버리', '뮬스니커즈', '디스커버리스니커즈', '남성스니커즈', '여성스니커즈', '뮬운동화', '디스커버리뮬', '뮬리']",여성,"85,000원","['230', '235', '240(2개남음)', '245', '250(5개남음)']",700 회 이상,400 개 이상,"1,700",246,https://www.musinsa.com/app/goods/2456002
오찌,필그림 컴피 스니커즈 FLOTCA1U05,['필그림'],"남성, 여성","27,600원",[{'(19)Black': ['220(2개 남음)']}],1.2천 회 이상,639,639,68,https://www.musinsa.com/app/goods/2127139
